FILM SECTION,TITLE ENGLISH,TITLE ORIGINAL,COUNTRY,PRODUCTION YEAR,LANGUAGE,RUNTIME,COLOR,DIRECTOR,DIRECTOR BIO,PRODUCER,SCREENPLAY,DOP,EDITOR,CAST,LONG SYNOPSIS ENGLISH,PREMIERE,AWARDS,FESTIVAL HISTORY,LINK TRAILER,TAGS,SALES,Drive Link to Director Image,Drive Link to Film Stills,Drive Link to Poster ( If Applicable ),Drive Link to Press Kit,Instagram,Twitter,Facebook,Award Year
From The Festivals,Pepe,,"Dominican Republic, Namibia, Germany, France",2024,"Spanish, Afrikaans, Mbukushu, German",122',"Colour, B&W",Nelson Carlos De Los Santos Arias,"Nelson Carlo De Los Santos Arias studied cinematography in Buenos Aires and at Edinburgh College of Art. He then received his MFA in Film and Video from CalArts. His thesis, the feature-length essay film Santa Teresa & Other Stories (2015) had its world premiere at FIDMarseille. The film won the Prix Georges de Beauregard, after which it was selected at many other film festivals. De Los Santos Arias’ feature film Cocote (2017) was crowned Best Film in the Signs of Life section of the Locarno International Film Festival.","Pablo Lozano, Tanya Valette, Nelson Carlos De Los Santos Arias",Nelson Carlo De Los Santos Arias,"Camilo Soratti, Roman Lechapelier, Nelson Carlos De Los Santos Arias",Nelson Carlos De Los Santos Arias,"Jhon Narváez, Sor María Ríos, Fareed Matjila, Harmony Ahalwa, Jorge Puntillón García, Shifafure Faustinus, Steven Alexander, Nicolás Marín Caly","A voice that claims to belong to a hippopotamus. A voice that does not understand the perception of time. A voice that tells of a historical event as if in a trance. “Am I making that sound that comes out of my mouth? And what is a mouth anyway?” The only thing the animal knows for sure is that it is dead. The first and only hippopotamus ever killed in the Americas. The Colombian press called him Pepe. Between encounters and misunderstandings, epiphanies and sadness, we enter a world full of stories replete with even more stories. In a serious and playful way, both authentic and deceptive, images and sounds narrate the overwhelming orality of places full of beings who, like Pepe, died without ever knowing where they really were.",India Premiere,"Winner: Silver Bear for Best Director, Berlin International Festival 2024","Berlin International Film Festival 2024, Toronto International Film Festival 2024","""Pepe"" | Trailer | Berlinale 2024 - YouTube","Hybrids, Festival Hits",,Director Nelson.jpg,Stills,Poster,Press Kitk,,,,2024
From The Festivals,Phantosmia,,Philippines,2024,Tegalog,246',B&W,Lav Diaz,"Lav Diaz was born in Mindanao, Philippines, in 1958. He primarily focuses on social and political struggles in the Philippines. He has received many awards at prestigious film festivals, including the Golden Leopard at the Locarno Film Festival for From What Is Before (2014), the Golden Lion at the Venice Film Festival for The Woman Who Left (2016), and the Silver Bear at the Berlinale for A Lullaby to the Sorrowful Mystery (2016). His other films include Melancholia (2008), Prologue to the Great Desaparecido (2013), The Halt (2019), and Essential Truths of the Lake (2023).","Lav Diaz, Paul Soriano, Mark Victor",Lav Diaz,Lav Diaz,Lav Diaz,"Ronnie Lazaro, Janine Gutierrez, Paul Jake Paule, Hazel Orencio","Hilarion Zabala, a former master sergeant, is tormented by a strange smell. The diagnosis is phantosmia, i.e. olfactory hallucinations, where he perceives smells that do not actually exist. His doctor attributes this to past trauma and recommends that he confront and recall his dark military service period as a solution. Zabala, willing to take on any task, voluntarily visits a military base and is eventually assigned to a remote island penal colony. However, another horrific reality awaits him there.",India Premiere,,"Venice International Film Festival 2024, Busan International Film Festival 2024",Phantosmia new trailer official - Venice Film Festival 2024 - YouTube,Global Politics,Diversion,Lav Diaz - color.JPG,Phantosmia,Phantosmia _ Poster.jpg,Phantosmia press kit.pdf,,,,2024
From The Festivals,Simon of the Mountain,Simón De La Montaña,"Argentina, Chile, Uruguay",2024,Spanish,98',Colour,Federico Luis,"Federico Luis is a filmmaker born in Buenos Aires in 1990. He studied Social Communication Sciences at the UBA (University of Buenos Aires). His short film La Siesta had its international premiere at the 2019 Cannes Film Festival in the Official Short Film Competition. It was also distinguished with an Honorable Mention at the Toronto International Film Festival’s Shortcuts program and won Best Short Film at the 2019 BAFICI. In 2023, he received the award for Best Short at IDFA.","Patricio Alvarez Casado, Fernando Bascuñán, Ignacio García Cucucovich, Carlos Rincones","Federico Luis, Tomas Murphy, Agustin Toscano",Marcos Hastrup,"Tomas Murphy, Andrés Medina","Lorenzo Ferro, Pehuén Pedie, Kiara Supini, Laura Nevole, Agustín Toscano, Camila Hirane","Simón is 21 years old. He introduces himself as a mover's helper. He claims not to know how to cook or clean the bathroom, but he does know how to make a bed. His parents are increasingly frustrated with odd changes in his behavior: he has become more withdrawn and appears to be affecting a strange, facial tic. But his new friends –a group of disabled teenagers– accept him as one of them, which clearly gives him a new sense of belonging. Federico Luis’ debut feature Simon of the Mountain is a playful and provocative drama that deftly questions societal attitudes and social boundaries and reinvents familiar scenes from a more conventional coming of age drama with fascinating new twists.",India Premiere,"Winner: Semaine de la critique Grand Prix, Cannes Film Festival 2024","Cannes Film Festival 2024, San Sebastián International Film Festival 2024",SIMON OF THE MOUNTAIN by Federico Luis - Official trailer - YouTube,"Social Impact, Festival Hits",Luxbox,6294 - AA016.jpg,Simon Of The Mountain,SIMON OF THE MOUNTAIN - International Poster.pdf,SIMON OF THE MOUNTAIN - Press Kit.pdf,,,,2024
From The Festivals,Steppenwolf,Dala Qasqyry,Kazakhstan,2024,"Kazakh, Russian",102',Colour,Adilkhan Yerzhanov,"Adilkhan Yerzhanov was born in the Jezkazgan region of Kazakhstan, and was educated as a filmmaker at the Kazakhstan National Academy of Arts. Yerzhanov is a two-time participant in the Cannes Film Festival’s Official Programme (The Owners, 2014 and The Gentle Indifference of the World, 2018) as well as the Venice International Film Festival (Yellow Cat, 2020 and Goliath, 2022). Yerzhanov also won the Asia Pacific Screen Award for Achievement in Directing for his A Dark, Dark Man (2019) and is currently a member of the European Film Academy.","Aliya Mendygozhina, Alexander Rodnyansky, Olga Khlasheva",Adilkhan Yerzhanov,Yerkinbek Ptyraliyev,"Arif Tleuzhanov, Adilkhan Yerzhanov","Azamat Nigmanov, Yerkin Gubashev, Nurbek Mukushev","A civil war rages across a vast, seemingly unpopulated landscape. As men fight and die, a mute woman searches for her son who has been kidnapped by child organ traffickers. She is accompanied by ‘the Steppenwolf’, a reformed ex-convict now hardened into a ruthless investigator. They resemble a bloody odd couple, but are determined to see their mission through, removing every obstacle – most of them human – in their path. Adilkhan’s Steppenwolf stands as a testament to his cinematic prowess, skillfully interweaving classic elements from stylised Westerns, road movies and bloody revenge dramas.",India Premiere,,International Film Festival Of Rotterdam 2024,STEPPENWOLF - Trailer | BIFFF2024 - YouTube,"Thriller, Festival Hits",Blue Finch Film,image_72192707.JPG,Press Still - 1.png Press Still - 2.png Press Still - 3.png,Steppenwolf - Poster.jpg,Steppenwolf Information sheet.docx,,,,2024
From The Festivals,The Empire,L' Empire,"France, Italy, Germany, Belgium, Portugal",2024,French,110',Colour,Bruno Dumont,"One of France's most important filmmakers, Bruno Dumont directed his debut feature film Life of Jesus in 1997, which was selected for the Director’s Fortnight at Cannes. His feature films Humanity and Flanders both won the Grand Prize of the Jury at Cannes, while Slack Bay and, more recently, the satire France, starring Lea Seydoux as a famous journalist, also screened in competition at the festival.","Jean Bréhat, Bertrand Faivre",Bruno Dumont,David Chambille,"Bruno Dumont, Desideria Rayner","Lyna Khoudri, Anamaria Vartolomei, Camille Cottin, Fabrice Luchini, Brandon Vlieghe, Julien Manier","The Opal Coast, northern France. In a quiet and picturesque fishing village, something finally happens: a special baby is born. A child so unique and peculiar that it unleashes a secret war between extraterrestrial forces of good and evil. On the one hand, The Empire plays like a Star Wars spoof, and on the other is a natural extension of Dumont’s transcendent style, spiked with crude sexuality and freak-show mysticism à la Twin Peaks.",India Premiere,"Winner: Jury Prize, Berlin International Film Festival 2024",Berlin International Film Festival 2024,The Empire (L'Empire) (2024) | trailer - YouTube,"Festival Hits, Comedy, Social Impact",Memento,(c) Tessalit - photographe - R. Arpajou.jpg,The Empire,L'EMPIRE_120x160.pdf,THE EMPIRE - Press kit.pdf,,,,2024
From The Festivals,The End,,"Denmark, Germany, Ireland, Italy, United Kingdom, Sweden",2024,English,148',Colour,Joshua Oppenheimer,Joshua Oppenheimer is an American filmmaker who works in both documentary and fiction. He holds a B.A. from Harvard and a Ph.D. from Central St. Martins College of Arts and Design in London. His directorial credits include the “pseudo-documentary” The Entire History of the Louisiana Purchase (98) and the documentaries The Act of Killing (2012) and The Look of Silence (2014).,"Signe Byrge Sørensen, Joshua Oppenheimer, Tilda Swinton, Viola Fügen, Conor Barry, Flaminio Zadra, Tracy O’Riordan, Ann Lundberg","Rasmus Heisterberg, Joshua Oppenheimer",Mikhail Krichman,Niels Pagh Andersen,"Tilda Swinton, George MacKay, Moses Ingram, Michael Shannon","Best known for his groundbreaking documentary, The Act of Killing (2012), Joshua Oppenheimer makes his fiction feature debut with The End, a story about what seems to be the last remaining human family on earth, as they hide in an ornate bunker built deep inside a salt mine after environmental collapse has destroyed society. George MacKay, born in this bunker, has only heard stories of the outside world. He spends his days working on a dubious book with his father, a former energy tycoon, while his mother frets over the upkeep of the many priceless paintings and artworks adorning their walls. It’s the semblance of a normal (albeit affluent) life. But when a woman from the outside arrives at their doorstep seeking refuge, the family’s delicate dynamic begins to crumble.",India Premiere,,"Toronto International Film Festival 2024, San Sebastián International Film Festival 2024",,"Hybrids, Comedy, Social Impact, Festival Hits",The Match Factory,Joshua Oppenheimer.jpg,The End,unavailable,,,,,2024
From The Festivals,The Great Yawn of History,Khamyazeye Bozorg,Iran,2024,Persian,93',Colour,Aliyar Rasti,"Born in Tehran, Iran in 1988, he began his career in photography, video and video installations before gradually moving towards his true passion of filmmaking. He has made more than ten music videos for independent Iranian bands which have been screened at various festivals. His first short film, In Between, won the Best Debut Film award at the 2018 Tirana International Film Festival. It was followed by America, his second short. Khamyazeye bozorg is his first feature-length film.",Aliyar Rasti,Aliyar Rasti,Soroush Alizadeh,Mohammad Najarian,"Mohammad Aghebati, Amirhossein Hosseini, Saber Abar, Mahin Sadri, Mehrdad Ziaie, Ramin Alizadeh","Beitollah is a man who constantly dreams of finding a cave with gold coins in a coffer. Against the precepts of his religion, he wishes to find this treasure, and recruits a young atheist, Shoja, as his assistant. Together they embark on a quest that will take them to different parts of the Iranian landscape. The Great Yawn narrates an odyssey where the oneiric, and even the absurd, intrude on reality. A journey of external exploration that ends up revealing the tensions between two apparently opposing characters, who nevertheless find in each other a mirror to look into.",India Premiere,"Winner: Encounters Special Jury Award, Berlin International Film Festival 2024",Berlin International Film Festival 2024,"""The Great Yawn of History"" (Khamyazeye bozorg) | Trailer | Berlinale 2024 - YouTube","Festival Hits, Social Impact",Heretic,Siavash Hosseinzadeh.jpg,The Great Yawn Of History,the-great-yawn-of-history-02.jpg,Press Kit fin new High.pdf,,,,2024
From The Festivals,The Quiet Son,Jouer Avec Le Feu,France,2024,French,119',Colour,"Delphine Coulin, Muriel Coulin","Delphine and Muriel Coulin are a French writer-filmmaker duo. Muriel graduated from the prestigious Louis Lumière school, and started her career as a camera assistant. Delphine studied literature and political science before taking charge of the documentaries program for the Franco-German TV Group Arte. In 1995, the two sisters started directing short films together, and iIn 2011, they directed their first feature film, 17 girls, which was screened at La Semaine de la Critique (Cannes).","Olivier Delbosc, Marie Guillaumond","Delphine Coulin, Muriel Coulin, Laurent Petitmangin",Frédéric Noirhomme,"Béatrice Herminie, Pierre Deschamps","Vincent Lindon, Benjamin Voisin, Stefan Crepon, Sophie Guillemin, Hugo Bariller, Denis Simonetta, Thomas Arnaud, Franco Provenzano, Abdel Bouchendidkh","Pierre, a widowed 50 year old man, raises his two sons alone. The three of them are very close. Louis, the younger son, is about to leave home to go to university in Paris. On the other hand, Fus, the elder one, has become withdrawn, and is slowly evincing an interest in far-right extremist activities, going against everything his father believes in. Set in France’s Grand Est region, where decades of rising unemployment have opened the doors to a wave of far-right radicalism, The Quiet Son is as revealing of our contemporary world as it is of the one to come.",India Premiere,"Coppa Volpi for Best Actor, and Collateral Impact Award, Venice Film Festival 2024","Venice Film Festival 2024, Busan International Film Festival 2024",The Quiet Son (Jouer avec le feu) new clip official - Venice Film Festival 2024 - 1/2 - YouTube,"Social Impact, Global Politics, Festical Hits, Films By Women",Playtime,thumbnail_D et M (c) Richard Schroeder.jpg,The Quiet Son,DP DEF_THE QUIET SON.pdf,,,,,2024
From The Festivals,The Second Act,Le Deuxième Acte,France,2024,French,85',Colour,Quentin Dupieux,"Quentin Dupieux is a filmmaker and musician from France. Dupieux is considered a true auteur, being the writer, editor and director of photography for all his films. He has even (co-)composed the music for half of his films, many of which have had their world premieres at festivals such as Cannes, Venice and Sundance. Dupieux’ films are unique and skew away from narrative conventions, with a penchant for the absurd. His Incredible But True (2022) premiered at Berlinale, Smoking Causes Coughing (2022) in Cannes, while Daaaaaali! (2023) was selected for IFFR 2024.",Hugo Sélignac,Quentin Dupieux,Quentin Dupieux,Quentin Dupieux,"Léa Seydoux, Vincent Lindon, Louis Garrel, Raphaël Quenard","Florence wants to introduce David, the man she’s madly in love with, to her father Guillaume. But David isn’t attracted to Florence and wants to throw her into the arms of his friend Willy. The four of them meet in a restaurant in the middle of nowhere, where they suddenly begin to act out a scene from a third-rate movie production. Quentin Dupieux’s latest film is self-referential cinema at its best, in which, much like his other films, the absurd becomes a genre unto itself.",India Premiere,,Cannes Film Festival 2024,The Second Act / Le Deuxième acte (2024) - Trailer (English Subs) - YouTube,"Comedy, Meta-Cinema, Festival Hits",Kinology,QuentinDupieuxHD PhotoCredit Audoin Desforges (1).jpg,The Second Act,LDA_MAQ120_CREDITS_HD.pdfk,,,,,2024
Rising Stars,"Crickets, It’s Your Turn",,"France, Kazakhstan",2024,Russian,105',Colour,Olga Korotko,"Olga studied film at the New
York Film Academy, took part in
the Berlinale Talents Campus,
and subsequently obtained
an MFA in film directing from the
Zhurgenov National Academy of
Fine Arts in Kazakhstan. Her first
feature film, Bad Bad Winter,
had its world premiere at Cannes (2018).","Etienne de Ricaud, Olga Korotko",Olga Korotko,Aigul Nurbulatova,"Ricardo Saraiva, Yedilkhan Amandyk","Inzhu Abeu, Ayan Batyrbek, Arnur Kusaingazin, Nurlybek Maulezaripov, Boris Yugay, Alexandr Khvan","25-year-old Merey lives a quiet but happy life in Almaty. By chance, she meets the charming Nurlan, who invites her to a birthday party in the mountains. She expects a simple celebration with new friends, but what ensues is an intense and tumultuous night that quickly spirals into a dark game of cat and mouse.",India Premiere,,Locarno International Film Festival 2024,,"Films By Women, Thriller, De/Gendered",Cercamon,Director.JPG,"Crickets, It's Your Turn",press kit,Crickets PK.pdf,,,,2024
Rising Stars,Cu Li Never Cries,Cu Li Không Bao Giờ Khóc,"Vietnam, Singapore, France, Philippines, Norway",2024,Vietnamese,92',Black & White,Phạm Ngọc Lân,"Born and raised in Hanoi, Lân graduated with a degree in urban planning and taught himself filmmaking at 27. His short films include The Story of
Ones (2012, Visions du Réel); Another City (2016, Berlinale); Blessed Land (2019, Berlinale) and The Unseen River (2021, Locarno, Sundance). Cu Li
Never Cries is his first featurelength film.","Nghiêm Quỳnh Trang, Trần Thị Bích Ngọc",Phạm Ngọc Lân & Nghiêm Quỳnh Trang,"Vũ Hoàng Triều, Nguyễn Vinh Phúc, Nguyễn Phan Linh Đan",Julie Béziau,"Minh Chau, Ha Phuong, Xuan An, Hoang Ha","A woman tries to cling onto dimming links to her past after inheriting a pygmy slow loris from her long-estranged husband. Meanwhile, her niece prepares for marriage as the young couple ponders their gloomy future together. The present and the complex echoes of Vietnamese history are entwined before a contemplative and poetic perspective.",India Premiere,"GWFF Best First Feature Award (Federal Government Commissioner for Culture and the Media), Berlinale 2024 I Best Picture Prize (International), Jeonju International Film Festival 2024","Berlin International Film Festival 2024, Jeonju International Film Festival 2024",Cu Li Never Cries - Trailer,"Historical, De/Gendered, Global Politics",Square Eyes,Director - PhamNgocLan.jpg,Cu Li Never Cries,Poster - Cu Li Never Cries.jpg,CuLiNeverCries_EPK.pdf,,,,2024
Rising Stars,Else,,"France, Belgium",2024,French,100',Colour,Thibault Emin,"Thibault Emin is a French director and screenwriter. He studied film at Paris 8 University, and then at La Fémis. He’s directed several short films, including the short film Else (2007), which formed the basis for his feature debut. Else (24) is his latest film.","Damien Lagogué,
Benoit Roland","Thibault Emin, Alice Butaud, Emma Sandona",Léo Lefèvre,Ariane Boukerche,"Matthieu Sampeur, Edith Proust, Lika Minamoto","Anx has just met Cass when a mysterious virus breaks out: everywhere, people’s bodies are merging with objects. Stuck in their apartment, the couple must now face this dreadful threat. A mesmerising body-horror romance, Else profoundly articulates a unique vision of the end of everything, and how it may, in fact, just be the start of something new.",Asia Premiere,,Toronto International Film Festival 2024,,"Avant-Garde, Hybrids, Horror, Technology",WTFILMS,IMG_20210117_000332.jpeg,Else,ELSE_70x100_HD.pdf,,,,,2024
Rising Stars,Hunters on a White Field,Jakt På Ett Vitt Fält,Sweden,2024,Swedish,97',Colour,Sarah Gyllenstierna,"Sarah Gyllenstierna was born in Stockholm, Sweden. She is a producer and director, known for Juice (1992) and He Got Game (1998).","Maria L. Guerpillon, Charlotte Most",Sarah Gyllenstierna,Josua Enblom,Philip Bergström,"Ardalan Esmaili, Magnus Krepper, Jens Hultén","Three men go on an extended weekend hunting trip deep in the Swedish forest. Gregor and Henrik are old friends and more experienced hunters, while Alex is a novice (and Gregor’s protégé at work). Their trip is initially greeted by success on the hunt, sharpening their instincts in the field and drumming up a rivalry between the three men. But one day all the animals vanish without a trace, leaving the forest eerily quiet and the men with nothing to hunt. Spurred on by overactive male bravado, the misguided macho inclination to compare themselves to men of the past, and a bit of natural hallucinogens, the trio find a way for the hunt to continue, even in a forest without animals.",India Premiere,,Tribeca Film Festival 2024,TRAILER - Hunters on a White Field (2024),"Films By Women, Thriller, De/Gendered",LevelK,SarahGyllenstierna_01_©OlaKjelbye.jpg,Hunters On A White Field,HuntersOnAWhiteField_UK_POSTER_70x100_RGB.jpg,,,,,2024
Rising Stars,Hunting Daze,Jour De Chasse,Canada,2023,Quebec French,79',Colour,Annick Blanc,"Driven by her love for visually intriguing and innovative storytelling, Annick Blanc co- founded Midi La Nuit with Maria Gracia Turgeon. As a director, Hunting Daze (2023) is her first feature film. Her filmography of shorts includes: The Colour of Your Lips (2019), Turn Off Before Living (2015) and Nowhere Elsewhere (2010) which have garnered prizes at many a festivals. As a producer she has helped create more than 15 projects, which have been screened at prestigious film festivals. Amongst them Who Do I Belong To (2024, Berlinale Competition), Hunting Daze (2023, SXSW), Brotherhood (2019 - Oscar nominee, Best Canadian Short TIFF), and Fauve (2018 - Oscar nominee, Sundance Jury Prize).","Maria Gracia Turgeon, Annick Blanc",Annick Blanc,Vincent Gonneville,Amélie Labrèche,"Nahéma Ricci, Bruno Marcil, Frédéric Millaire-Zouvi, Marc Beaupré, Alexandre Landry, Maxime Genois, Noubi Ndiaye","Nina, a headstrong young woman, joins a group of hunters at a remote cabin. In this male micro-society, she finally feels a newfound sense of belonging. But the delicate balance of their pack is threatened with the arrival of a mysterious stranger.",India Premiere,,SXSW 2024,Trailer,"Films by Women, Thriller, De/Gendered",ArtHood Entertainment,Headshots + Bios,Stills,Poster,EPK,,,,2024
Rising Stars,Lilies Not for Me,,"United States, United Kingdom, France, South Africa",2024,English,99',Colour,Will Seefried,"Will Seefried is an award-winning writer, director & filmmaker. He is known for Lilies Not for Me (2024), Homesick (2022) and Sink Sank Sunk (2018).","Will Seefried, Robert Aramayo",Will Seefried,Cory Fraiman-Lott,Julia Bloch,"Fionn O’Shea, Robert Aramayo, Louis Hoffman, Erin Kellyman, Jodi Balfour","In 1920s England, a gay novelist and his psychiatric nurse form an unlikely friendship over a series of doctor-prescribed ‘dates’. Through their conversations, he tells her the story of his relationship with an old friend which spiraled out of control when they turned to a risky procedure to cure themselves of their forbidden feelings for one another.",Asia Premiere,,Edinburgh International Film Festival 2024,Press Clip 2.mp4,"LGBTQIA+, Social Impact",Memento International,Will Seefried - (c) Jenni Elizabeth.png,Lilies Not For Me,not available,PRESS KIT Lilies Not For Me .docx.pdf,,,,2024
Rising Stars,Linda,,"Argentina, Spain",2024,Spanish,100',Colour,Mariana Wainstein,Mariana Wainstein is a writer and director. She’s directed short films including Las Hormigas (2017) and Error 404 (2016). Linda (2024) is her feature debut.,"Pablo E. Bossi, Cabe Bossi, Pol Bossi.","Mariana Wainstein, Diego Bliffeld, Luciano Cocciardi, Horacio Convertini, Juan Cordoni, Sabrina Campos, Nancy Gai",Marcos Hastrup,Miguel Colombo,"Eugenia China Suárez, Rafael Spregelburd, Julieta Cardinali, Minerva Casero","Self-assured, mysterious, and captivating Linda agrees to work at an affluent home in Buenos Aires, covering for her cousin who’s recovering from an accident. Her charm sparks strong sexual attraction among all four members of the family, exposing how fragile their externally happy veneer really is. Turning away from grand gestures, the narrative drills on the mundane to explore Linda's shattering of the male egos involved as well as the power dynamic between the female employer and the “help"".",Asia Premiere,,"Toronto International Film Festival 2024,
Zurich International Film Festival 2024",LINDA Trailer | TIFF 2024,"Films by Women, De/Gendered",Meikincine Entertainment,Mariana Wainstein _ Linda (Horizontal).jpg,Linda,Linda - Poster.jpg,LINDA - BRIEF.pdf,,,,2024
Rising Stars,Locust,Chong,"Taiwan, United States, France, Qatar",2024,"Mandarin, Hokkein, Hakka",133',Colour,KEFF,"KEFF is a Taiwanese-American multidisciplinary artist based in New York and Taipei. He recently completed the NYU Graduate Film program on scholarship. His first short film, Secret Lives of Asians at Night, was supported by the Spike Lee Film Fellowship, and awarded the Jury Prize for Best Asian-American Film by the Director's Guild of America. His second short film and NYU thesis, Taipei Suicide Story, had its world premiere at the Cannes Film Festival (Cinéfondation), and won the Grand Jury Prize (Narrative Feature) at the Slamdance Film Festival. He is also an open-format DJ and producer that has performed with countless international artists at parties such as Brownies & Lemonade (LA), SHOWER @ Soap (Korea), SUBBEAT @ Cakeshop (Korea) and BangOn! (NYC).","Anita Gou, Siuloku O","KEFF, Junu Wu","Nadim Carlsen, DFF","KEFF, Siuloku O., Jenson Tay Yi","Liu Wei-chen, Rimong Ihwar, Devin Pan, Yu An Shun, Wu Yi-Jung","As the 2019 Hong Kong protests erupt across the strait, Zhong-Han, a silent twenty-nothing in Taiwan, leads a double life – working at a family restaurant by day, and running with a group of local gangsters by night. But when the ownership of the restaurant changes hands, it sets off an unexpected chain reaction that forces Zhong-Han to witness and confront the corrupt power games of his country.",India Premiere,,"Cannes Film Festival 2024, Warsaw International Film Festival 2024",TRAILER - Locust (2024),"Thriller, Global Politics",MK2,LOCUST - KEFF Headshot.jpg,Locust,missing,locust-press-notes.docx.pdf,,,,2024
Rising Stars,Manas,,"Brazil, Portugal",2024,Spanish,101',Colour,Mariana Brennand,"Marianna Brennand, after graduating with a degree in film at UCSB, made Francisco Brennanda (2012), a documentary about a Brazilian artist globally recognized for his ceramic work, who was also her great-uncle Francisco. The film won both Best Brazilian Documentary and Best Brazilian Film at the São Paulo Film Festival. Manas marks Brennand’s feature film directorial debut and is the result of a ten-year research into the complex and delicate subject of the sexual abuse and exploitation of children and teenagers on Marajó Island, in the Amazon rainforest.","Carolina Benevides, Marianna Brennand","Felipe Sholl, Marcelo Grabowsky, Marianna Brennand, Antonia Pellegrino,
Camila Agustini, Carolina Benevides",Pierre De Kerchove,Isabela Monteiro de Castro,"Jamilli Correa, Fátima Macedo, Rômulo Braga, Dira Paes, Emilu Pantoja, Samira Eloá, Gabriel Rodrigues, Enzo Maia","Island of Marajó, Amazon rainforest. Marcielle,13, lives by the riverbanks with her father, mother, and three siblings. Prompted by her mother's words, she idolizes her older sister who supposedly escaped her reality by ""finding a good man"" on the barges that ply the region. As Tielle matures, her idealized visions shatter, leaving her trapped between two abusive environments. Increasingly worried about her younger sister and the bleak future they face, she decides to confront the oppressive system that controls her family and the women in their community.",Asia Premiere,"Giornate degli Autori Director's Award, Venice International Film Festival 2024",Venice International Film Festival 2024,MANAS | Teaser Oficial,"Films By Women, Global Politics, De/Gendered, Social Impact",Bendita Films Sales,Marianna Brennand director's portrait.jpg,Stills,Poster_MANAS.jpgk,Manas_Pressbook_ENG.pdf,,,,2024
Rising Stars,Memories of a Burning Body,Memorias De Un Cuerpo Que Arde,"Costa Rica, Spain",2024,Spanish,90',Colour,Antonella Sudassassi Furniss,"Her first film, The Awakening of the Ants (2019), premiered at the Berlinale Forum, in 2019 and was selected for more than 65 international festivals, representing the country at the Academy Awards and becoming the first Costa Rican film to be recognized by the Platino Awards and the first Central American movie to receive a Goya Award nomination. Memories of a Burning Body is her second feature film.",Antonella Sudasassi Furniss,Antonella Sudassassi Furniss,Andrés Campos,Bernat Aragonés,"Sol Carball, Paulina Bernini, Juliana Filloy, Liliana Biamonte","Growing up in a repressive era when sexuality was a taboo subject, 68-year-old Ana, 69-year-old Patricia and 71-year-old Mayela developed their understanding of what it means to be a woman based on unspoken rules and implicit expectations. Now they dare to talk about it openly. The memories, secrets and longings of the three are interwoven in a poetic way: while the women tell their stories off-screen, they are lived out in the body of another woman of their generation.",India Premiere,"Panorama Audience Award, Berlin International Film Festival 2024","Berlin International Film Festival 2024, Istanbul Film Festival 2024, Rio de Janeiro International Film Festival 2024",MEMORIES OF A BURNING BODY - International trailer,"Films By Women, De/Gendered, Social Impact",Bendita Film Sales,memories.jpeg,press kit,press kit,Memorias_Pressbook_updated.pdf,,,,2024
Docu-Montage,Afternoons of Solitude,Tardes De Soledad,"Spain, France, Portugal",2024,Spanish,123',Colour,Albert Serra,"Catalan artist and filmmaker Albert Serra holds a degree in Spanish Philology and Literary Theory. His films –Birdsong (2008), Story of my Death (2013), Liberté (2019), Pacifiction (2022)– have premiered and won awards at festivals such as Cannes, Locarno, TIFF and IFFR.","Pedro Palacios, Ricard Sales, Montse Triola, Luis Ferrón, Pierre-Olivier Bardet, Albert Serra, Joaquim Sapinho",Albert Serra,Artur Tort Pujol,"Albert Serra, Artur Tort Pujol",Andrez Roca Rey,"Filmmaker Albert Serra trains a patient and poetic lens on the dazzling pomp and devastating brutality of bullfighting in his new documentary portrait of the charismatic Peruvian-born star torero Andrés Roca Rey. Intensely in-the-moment, Afternoons of Solitude expertly balances the visceral thrill of the battle inside the ring, pitting animal instinct against human technique, with a meditative filmmaking style that allows the viewer to appreciate the emotional and physical toll the violence takes on both man and beast.",India Premiere,"Golden Shell for Best Film, San Sebastian Film Festival 2024","San Sebastián International Film Festival 2024, New York Film Festival 2024, Tokyo International Film Festival 2024",Tardes de soledad' - Tráiler,"Documentary, Festival Hits",Films Boutique,Albert Serra_CANNES©Óscar Fernández Orengo.jpg,Afternoons of Solitude,unavailable,AFTERNOONS OF SOLITUDE - film info.pdf,https://www.facebook.com/p/Albert-Serra-100044731155548/,,,2024
